"Cell line 1"	"Cell line 2"	"Cell line 3"	"RMSE"	"Correlation"
"GSM1683515"	0.58705420098758	0.138728117433295	0.274217681579124	630.215508975264	0.541732682879292
"GSM1683518"	0.0475350023613042	-2.32364722471624e-17	0.952464997638695	636.210244895799	0.612744827259326
"GSM1683519"	0.10186207581675	0.555534131215473	0.342603792967781	443.851285255148	0.530222239344182
"GSM1683521"	0.267362235331249	0.0412382280600044	0.691399536608747	763.325793777597	0.568692171966927
"GSM1683524"	0.0821815730065934	0.213576390180759	0.704242036812648	537.823376604371	0.494867970303839
"GSM1683528"	0.226205859741925	-3.47115064871605e-15	0.773794140258078	686.356284935807	0.569891657268624
"GSM1683531"	0.080601832624802	0.244592956835159	0.674805210540039	741.183036460136	0.437938053044479
"GSM1683534"	0.211763428753731	0.347116047120524	0.441120524125745	747.447819723052	0.358470877300732
"GSM1683535"	0.0692383183027995	0.212252540341679	0.718509141355524	654.464353599021	0.427429615969286
"GSM1683543"	0.0683930316248563	0.01165697748097	0.919949990894174	648.348737942031	0.555514697020226
"GSM1683545"	0.176852609001276	0.201114306022795	0.622033084975928	779.002438253745	0.403256045844465
"GSM1683546"	0.0374903486920937	-2.29585982712373e-18	0.962509651307907	616.58672046252	0.612040738467911
"GSM1683549"	0.0872675453373946	0.103959251047771	0.808773203614833	785.636861201477	0.476199781253763
"GSM1683554"	0.402488896398974	0.0855937037824884	0.511917399818538	716.723255863758	0.632299418866065
"GSM1683557"	0.285387940687934	0.118828574824803	0.595783484487263	744.458883958556	0.616069579226379
"GSM1683566"	0.144167849884986	0.439024417380143	0.416807732734871	610.332690435111	0.442971499823236
"GSM1683568"	0.621074391111013	-2.85343389577904e-17	0.378925608888987	450.744040576409	0.665618490796963
"GSM1683571"	0.284199098009406	0.136168558536659	0.579632343453934	705.414743479805	0.534945617334496
"GSM1683576"	0.540632681327689	0.130742289203988	0.328625029468323	665.405937573372	0.570722284216623
"GSM1683578"	0.054397425235344	2.60830126420846e-16	0.945602574764655	577.865599547148	0.564490446898699
"GSM1683582"	0.173980952346542	0.0328723696920118	0.793146677961447	565.750806369967	0.506052994173716
