"cancer_abs"	"lympho_abs"	"myelo_abs"	"stroma_abs"	"Bcells_abs"	"NK_abs"	"PlasmaCells_abs"	"Tcells_abs"	"CD8_abs"	"CD4_abs"	"Tgd_abs"	"CD8_naive_abs"	"CM_CD8_abs"	"EM_CD8_abs"	"EMRA_CD8_abs"	"Th1_abs"	"Th2_abs"	"Th17_abs"	"Treg_abs"	"Tfh_abs"	"dendritic_abs"	"granulocytes_abs"	"macro_abs"	"monocytes_abs"	"plasmacytoid_abs"	"M1_abs"	"M2_abs"
"GSM1683515"	0.654316623039432	0.0133808320353936	0.0546037659717385	0.232944974043925	-6.02467706097051e-27	5.75919710499869e-05	0.0126824690436321	0.000640771020711579	0.000625206440342914	1.55645803686655e-05	-6.44334667615768e-22	3.8630455082869e-21	4.2799526066069e-07	1.51365851080048e-05	-3.10421379041556e-21	4.34353454187405e-22	0.000283829937000174	-1.67065727801731e-21	0.000338367650161787	3.00885318095317e-06	0.00384647008447592	0.00236779151886436	0.035372082697753	0.0122113806434556	0.000806041027189536	0.0353720826977532	-4.81447214109436e-21
"GSM1683518"	0.746583779782447	1.34865886743882e-16	0.0248424198639543	0.079563092775906	1.44768640391189e-17	7.48918821251249e-19	1.13043227601602e-16	6.59687628191052e-18	6.37373824199334e-18	2.23138039917125e-19	4.59915332820644e-36	2.90218809869532e-35	0	2.23138039917125e-19	-2.1316840522218e-35	4.84277836774562e-18	1.51223397720657e-18	5.02221885018917e-34	2.15571916092772e-36	1.87258970411553e-20	0.00280224167858511	0.00111822236748531	0.0103807458425138	0.00983359543612551	0.000707614539244484	0.0103807458425139	0
"GSM1683519"	0.260450239808151	6.0685404510018e-18	0.072139897521293	0.345662127322325	-7.4526572590133e-35	4.39835398302046e-20	5.63082217554349e-18	3.93734735628095e-19	3.8083683816891e-19	1.28978974591851e-20	-1.26132949870133e-37	7.68582384902331e-37	0	1.28978974591851e-20	-4.828357411309e-37	1.01344524907797e-35	2.07009238656363e-19	-3.15914700954967e-36	1.71667887791933e-19	2.15971172061279e-21	0.00110259127229826	0.000367016820933672	0.0588612895992192	0.0117029175446309	0.000106082284210962	0.0588612895992195	0
"GSM1683521"	0.95192953411896	1.45782004951378e-17	0.0480704658811252	1.11650030091994e-17	5.29320614897192e-18	4.1530932328689e-19	7.27892896962387e-18	1.59075605325508e-18	1.533936880243e-18	5.68191730120804e-20	-1.03037411173097e-35	0	5.6573795304691e-38	5.68191730120804e-20	1.71776625585453e-36	2.38057671305929e-35	1.02492286699024e-18	-2.14763211112181e-50	5.05895096181224e-19	3.11891707153588e-21	0.00118216926543286	0.000721900724496637	0.0338750232870894	0.0110051811594632	0.00128619144464304	0.0338750232870897	0
"GSM1683524"	0.874523281694357	-4.4281435929639e-17	0.0248499878166123	0.100535249190108	-9.98601286592436e-34	-2.51943356451139e-19	-4.17359656458591e-17	-2.2935269273288e-18	-2.23444047998608e-18	-5.90864473427172e-20	-9.94658750905554e-37	-8.72966291694943e-38	5.20014176213868e-37	-5.90864473427172e-20	3.97085589886305e-36	1.51291292830791e-35	-1.10489907891543e-18	-3.83097792945051e-36	-1.1210768450791e-18	-8.46455599154344e-21	0.0021507675364061	0.000981593263372814	0.0131703340571383	0.00812564148258185	0.000421651477113262	0.0131703340571384	0
"GSM1683528"	0.875302654770995	0.033702346321193	0.00999872106091621	2.7209687032572e-17	5.52223749402691e-19	0.000303987776800679	0.0315710978167006	0.00182726072769167	0.00175266623882313	7.31457843162302e-05	1.44870455230895e-06	2.04830233086481e-05	-2.21389465873486e-21	5.26627610075818e-05	-2.81994583712599e-21	1.24397669758242e-20	0.00110009240391335	0	0.000641248130583544	1.13257043262345e-05	0.000218841298867504	9.11289631216769e-05	0.00870000175115733	0.000806939076602632	0.00018180997116707	0.00870000175115738	0
"GSM1683531"	0.597793366411018	-7.1005898850016e-17	0.0671152762963137	0.33509135729269	-2.81914443290843e-33	-5.68969450205654e-19	-6.63031856634626e-17	-4.13374373634764e-18	-4.06826249429905e-18	-6.54812420485895e-20	-6.10068483951175e-38	3.10905271637547e-37	0	-6.54812420485895e-20	9.25484695449758e-37	-4.0382729927278e-35	-8.08768333504167e-19	-2.20182567158133e-20	-3.19741407872885e-18	-4.00618253502181e-20	0.000649592495897835	0.00199077461153177	0.0529163139764311	0.0107688174943378	0.000789777718115101	0.0529163139764313	-1.71201399750515e-19
"GSM1683534"	0.336427516050208	1.23627852073704e-17	0.155074016491507	0.508498467458286	6.47470824546275e-18	4.99501870483598e-19	3.45658259875831e-18	1.93199249266577e-18	1.88939344838293e-18	4.25990442828346e-20	9.49084751159017e-51	0	5.9118049737287e-37	4.25990442828346e-20	2.20134634099317e-36	1.07975866148732e-35	1.19165025455531e-18	-2.42088134074372e-36	6.97743193827624e-19	-2.9834545459945e-36	0.00117612122880216	0.00302931365468479	0.0409067717917576	0.109961809816263	-3.58967249807002e-20	0.0409067717917581	1.59364107558363e-18
"GSM1683535"	0.405234460030698	-4.55443547771524e-17	0.0261855993846144	0.568579940584715	3.27530629802319e-34	-2.06472366191089e-19	-4.34618282350527e-17	-1.87605417590857e-18	-1.80882095407345e-18	-4.43573652982213e-20	-2.28758565368887e-20	-1.98024065843817e-20	-1.3131723564125e-20	-1.14232351497147e-20	1.81426840446386e-36	-3.31460596432231e-35	-7.04594575275047e-19	1.80715448249546e-37	-1.09647896643537e-18	-7.74741236303479e-21	0.000471780328570548	0.000153073920966415	0.0237675198748025	0.00161852760605169	0.000174697654223241	0.0237675198748028	-4.85945612560858e-20
"GSM1683543"	0.581525299229523	4.25112501762558e-16	0.0461025756882791	0.263493590959898	4.58911103142283e-33	8.76960770425413e-18	3.77118399154379e-16	3.92244949039253e-17	3.81778197706688e-17	1.04667513325658e-18	-1.74713288882451e-35	0	1.89261992350347e-19	8.57413140906228e-19	-6.05648636055554e-36	7.15780635638302e-34	4.72831339225079e-18	9.96390680352079e-35	3.33546280867976e-17	9.48782916204617e-20	0.000186872036823602	0.00128558045290977	0.0433048960960383	0.00132522710250742	1.77443296151983e-25	0.0433048960960388	2.19274437614363e-18
